Name,Desc,PlantType,Color,HardinessZones,BloomsIn,Height,SoilNeeds,SunNeeds,WaterNeeds,Maintenance
Veronicastrum (Veronicastrum),"<p>Veronicastrum is a genus of <strong>about 10 species</strong> of herbaceous perennials in the <strong>family Plantaginaceae</strong>, mostly native to North America.<br/>
Veronicastrum produces attractive foliage and clusters of small flowers on erect, tall stems from summer to fall. It’s easy to grow and makes a pretty addition to beds and borders. It will look charming as a part of your garden landscape and will attract bees and butterflies to your garden.</p>",Perennials,"The flowers come in shades of white, purple and pink.",3-9,"Autumn, Summer",Veronicastrum reaches nearly 2 m (6 ft) in height.,"Veronicastrum prefers fertile, moist and well-drained soil. It tolerates a wide range of soil pH levels.","Full sun, Partial sun",avarage,low
Vinca (Periwinkle),"<p>Vinca, also known as Periwinkle, is a genus of <strong>6 species</strong> of herbaceous perennials or evergreen shrubs in the <strong>family Apocynaceae</strong>, native to Europe, northwest Africa and Middle East.<br/>
These easy-to-care plants are grown for their glossy, dark green foliage and eye-catching, unique pinwheel-shaped flowers. Vinca is great for beds, borders and as ground cover.</p>","Perennials, Shrubs","Vinca comes in shades of pink, purple, red and white.",3-11,"Autumn, Summer",Vinca range in size from dwarf species that grow only about 10 cm (4 inches) tall to the larger types which can grow up to 60 cm (2 ft) in height.,"Vinca prefers moist, but well drained soil and is adaptable to soils of various pHs.","Full sun, Partial sun, Shade",avarage,low
Viola (Violet),"<p>Viola is a genus of <strong>over 500 species</strong> in the<strong> family Violaceae</strong>. They can be found all over the world, but most of them are in the temperate areas of the northern hemisphere.<br/>
Violas are one of the most popular flowers, well known for their charming fragrant blooms and heart shaped leaves. They are suitable for the front of borders and beds, as well as in containers.</p>","Annuals, Perennials, Shrubs","As their name suggests, many species are violet in color, but can also be blue, white, yellow and cream. Some blooms have two or even three colors.",3-9,"Spring, Autumn, Winter, Summer",Violas are small plants up to 20 cm (8 inches) tall.,"Violas prefer rich, moist and well drained soil.","Full sun, Partial sun",avarage,low
Watsonia (Bugle Lily),"<p>Watsonia is a genus of <strong>about 50 species</strong> of perennials in the<strong> family Iridaceae</strong>, native to southern Africa.<br/>
Watsonia produces sword-shaped or lance-shaped leaves and showy spikes of tubular flowers with spreading lobes.<br/>
With their bright colors and tall flowering spikes, these lovely plants will add a colorful vibrance to any landscape. Give them sunshine and some occasional water and they will pull out a smile from your face every time you see them!</p>","Bulbs, Perennials","The flowers come in shades of red, pink, orange, purple and white.",8-11,"Spring, Autumn, Winter, Summer",This plant grows from 30 cm to 2 metres (1 ft to 7 ft) in height.,Soil should be acidic or neutral and should be moist and well-drained.,Full sun,avarage,low
Weigela (Weigela),"<p>Weigela is a genus of <strong>about 10 species</strong> of flowering shrubs in the <strong>family Caprifoliaceae</strong>, native to open woodlands of eastern Asia.<br/>
These species have attractive foliage and tubular or trumpet-shaped flowers that bloom in late spring and early summer, but also sporadically throughout the year. They are perfect for anyone who wishes to grow long blooming, flowering shrubs. They bring charm to any garden and never fail to catch the eye of passers-by!</p>",Shrubs,"The flowers come in shades of red, pink, white and yellow.",4-9,"Spring, Autumn, Summer",This plant grows from 30 cm (1 ft) to 3 metres (10 ft) high.,"Weigela prefers fertile and moist, but well-drained soil. It can tolerate soil pH levels between 5.5 and 7.5.","Full sun, Partial sun",avarage,low
Wisteria (Wisteria),"<p>Wisteria is a genus of fast-growing, deciduous climbers. It contains <strong>about 10 species</strong> of woody climbing vines in the <strong>family Fabaceae</strong>, native to East Asia and the USA.<br/>
They are ideal for training into trees, covering walls and other garden structures or as a freestanding half standard. Wisterias require high maintenance and usually begin flowering within three to five years of planting.</p>",Climbers,"Wisteria comes in shades of white, blue, purple and pink.",5-9,"Spring, Summer","Wisteria grows from 180 cm to 12 metres (6 to 40 ft) tall, depending on species.","Wisteria likes moist, well-drained and fertile soil. It grows best in slightly acidic to neutral soil.","Full sun, Partial sun",avarage,hard
Xanthisma (Xanthisma),"<p>Xanthisma is a genus of <strong>about 10 species</strong> in the <strong>family Asteraceae</strong>, native to the United States and Mexico.<br/>
Most species have bright yellow, daisy-like flowers at the tips of branching stems. These wildflowers bloom mostly in spring, but may flower at other times of the year. They are drought-tolerant and great for xeriscape gardening.</p>","Annuals, Perennials","The flowers are generally yellow in color, but there are also varieties that are white and purple.",3-9,"Spring, Autumn, Winter, Summer",This plant can reach a height of 60 cm (2 ft).,"Xanthisma prefers well-drained, sandy soil and can survive in dry soil as well. It tolerates pH levels between 5.0 and 7.0.","Full sun, Partial sun",low,low
Xeranthemum (Xeranthemum),"<p>Xeranthemum is a genus of <strong>6 species</strong> of annuals in the<strong> family Asteraceae</strong>, native to the Mediterranean and southwestern Asia.<br/>
The members of this genus are known for their silvery foliage and colorful, daisy-like, papery flowers. They have alternate, undivided leaves and compact heads of small florets on long stalks. They are great cut flowers and are suited to both formal and modern style arrangements.</p>",Annuals,"These flowers come in shades of pink, purple and white.",2-10,"Autumn, Summer",This plant can grow between 30 and 90 cm (1-3 ft) tall.,"Xeranthemum prefers fertile, moist and well-drained soil.",Full sun,avarage,low
Xerochrysum (Xerochrysum),"<p>Xerochrysum is a genus of<strong> 8 species</strong> of flowering plants, native to Australia. The genus belongs to the <strong>family Asteraceae</strong>, with both annual and perennial varieties.<br/>
Xerochrysum produces showy, papery-like bracts in a variety of colors. Tiny, individual flowers are yellow in color and formed into a large cluster surrounded by beautiful bracts. Xerochrysum is attractive to bees, butterflies and birds. It is one of the most popular everlasting flowers, due to its enduring beauty and a wide color palette.</p>","Annuals, Perennials, Shrubs","Its bracts are yellow, orange, purple, pink and red.",8-11,"Spring, Autumn, Summer","Xerochrysum grows from 20 to 150 cm (8 inches to 5 ft) tall, depending on species.","Xerochrysum prefers soil with a pH of 5.5 to 7.5,, but the plant grows in nearly any well-drained soil.",Full sun,avarage,low
Xerophyllum (Xerophyllum),"<p>Xerophyllum is a North American genus of<strong> two species</strong> of flowering plants (<span class=""search"">Xerophyllum tenax and Xerophyllum asphodeloides) in the <strong>family of Melanthiaceae</strong>.<br/>
</span><span class=""search"">These species have spiky leaves and small white flowers on long stalks. The flowers are slightly fragrant, held in a dense cluster atop a thick stem. They are unique looking and make a nice addition to perennial beds and containers.</span></p>","Herbs, Perennials",Xerophyllum has unique cream-colored flowers.,4-8,"Spring, Summer","These plants can grow from 50 cm to 1,5 meters (2-5 ft) tall, with numerous small flowers growing on long flower stalks.",Xerophyllum prefers sandy or loamy soil that is well-drained.,"Full sun, Partial sun",low,low
Yucca (Yucca),"<p>Yucca is a genus of <strong>about 50 species</strong> of evergreen perennials, shrubs and trees. It belongs to the <strong>family of Asparagaceae</strong> and is native to North America, Mexico and the Caribbean.<br/>
These versatile and easy-to-care plants come in a wide variety of sizes and shapes. They are known for their spiky sword-like leaves and beautiful bell-shaped flowers. The flowers are usually fragrant and white or cream in color. They are ideal for people who have little time or travel frequently because of their low maintenance requirements.</p>","Cactus - Succulents, Shrubs, Trees","The Yucca plant has green, sword-like leaves and white or whitish flowers.",4-11,"Spring, Autumn, Summer","Yucca grows from 60 cm to 4,5 metres (2 to 15 ft) high, depending on species.","This plant grows best in sandy and well drained soil, with a pH level between 5.5 and 7.5.","Full sun, Partial sun",low,low
Zantedeschia (Calla Lily; Arum Lily),"<p>Zantedeschia is a genus in the <strong>family Araceae</strong>, native to southern Africa. The genus contains <strong>8 species</strong> and numerous cultivars of herbaceous perennials, divided into two main types: hardier outdoor forms with striking white flowers, called Arum Lilies, and the more tender forms with white-spotted leaves and colorful flowers, commonly known as Calla Lilies. Zantedeschia is widely popular and a beautiful addition to any garden. These plants can be grown in beds, borders, containers, but also in water (Zantedeschia aethiopica).</p>","Bulbs, Perennials","Zantedeschia is available in a multitude of colors including white, yellow, orange, pink, purple and even black.",3-10,"Spring, Summer",The plant grows between 30 and 90 cm (1 to 3 ft) tall.,Zantedeschia grows best in moist and well-drained soil. The ideal soil pH is between 6.0 and 6.5.,"Full sun, Partial sun",avarage,low
Zephyranthes (Rain Lily; Fairy Lily),"<p>Zephyranthes is a genus of <strong>about 90 species</strong> of flowering plants, mostly perennials, belonging to the <strong>Amaryllidaceae family</strong>. They are native to southeastern United States, Central America and South America.<br/>
These plants have grass-like foliage and erect flower stalks that support a single flower consisting of six or eight petals. The flowers are funnel-shaped and more often appears in spring and summer. These beautiful flowers range from yellow through pink to white and can fit in any garden. Some species have sweet fragrance which spread happiness and joy.</p>","Annuals, Bulbs, Perennials","The flowers may be yellow, pink and white.",7-11,"Spring, Autumn, Summer",The plant can grow up to 30 cm (1 ft) in height.,Zephyranthes prefers well-drained soil with a good application of organic material.,"Full sun, Partial sun",avarage,medium
